title,city,salary_from,salary_to,salary_mid,experience_years,url
Финансовый аналитик,Москва,74816,119858,97337.0,0.0,https://hh.ru/job/1000000
Маркетинг-аналитик,Казань,85106,151771,118438.5,0.5,https://hh.ru/vacancy/1000001
Интернет-маркетолог,Удалённо,93932,181788,137860.0,0.0,https://hh.ru/job/1000002
Product manager (junior),Екатеринбург,57100,89476,73288.0,2.0,https://hh.ru/job/1000003
Отчётный аналитик,Удалённо,97091,157645,127368.0,3.0,https://hh.ru/job/1000004
Бизнес-аналитик,Москва,61949,81148,71548.5,1.0,https://hh.ru/job/1000005
Интернет-маркетолог,Казань,110080,196492,153286.0,0.5,https://hh.ru/vacancy/1000006
Data Scientist (junior),Екатеринбург,77744,133692,105718.0,2.0,https://hh.ru/vacancy/1000007
Финансовый аналитик,Санкт-Петербург,85543,164324,124933.5,3.0,https://hh.ru/vacancy/1000008
SQL-аналитик,Казань,148319,226069,187194.0,2.0,https://hh.ru/vacancy/1000009
BI-аналитик,Новосибирск,132193,203455,167824.0,3.0,https://hh.ru/vacancy/1000010
Финансовый аналитик,Москва,76187,127787,101987.0,0.5,https://hh.ru/vacancy/1000011
Отчётный аналитик,Казань,152734,234632,193683.0,0.5,https://hh.ru/job/1000012
Отчётный аналитик,Казань,47239,114722,80980.5,3.0,https://hh.ru/vacancy/1000013
Бизнес-аналитик,Новосибирск,54489,77786,66137.5,2.0,https://hh.ru/vacancy/1000014
Data Scientist (junior),Екатеринбург,154937,190385,172661.0,1.0,https://hh.ru/job/1000015
Маркетинг-аналитик,Санкт-Петербург,98017,129189,113603.0,2.0,https://hh.ru/vacancy/1000016
Бизнес-аналитик,Новосибирск,101877,149751,125814.0,3.0,https://hh.ru/job/1000017
Бизнес-аналитик,Санкт-Петербург,83125,95782,89453.5,2.0,https://hh.ru/job/1000018
BI-аналитик,Екатеринбург,89922,179308,134615.0,2.0,https://hh.ru/vacancy/1000019
Data Engineer (junior),Казань,134074,164499,149286.5,1.0,https://hh.ru/job/1000020
Data Scientist (junior),Санкт-Петербург,72049,103734,87891.5,1.0,https://hh.ru/vacancy/1000021
Продуктовый аналитик,Москва,77131,106709,91920.0,1.0,https://hh.ru/vacancy/1000022
Бизнес-аналитик,Москва,82944,116775,99859.5,3.0,https://hh.ru/job/1000023
Junior аналитик,Новосибирск,155765,168671,162218.0,3.0,https://hh.ru/job/1000024
Специалист по рекламе,Екатеринбург,113963,180376,147169.5,3.0,https://hh.ru/vacancy/1000025
Data Engineer (junior),Новосибирск,146884,205912,176398.0,0.0,https://hh.ru/job/1000026
Продуктовый аналитик,Новосибирск,64285,76572,70428.5,2.0,https://hh.ru/job/1000027
Junior аналитик,Удалённо,77626,116286,96956.0,3.0,https://hh.ru/vacancy/1000028
Data Scientist (junior),Новосибирск,82808,163566,123187.0,2.0,https://hh.ru/vacancy/1000029
Аналитик данных,Удалённо,128464,193968,161216.0,3.0,https://hh.ru/job/1000030
Junior аналитик,Москва,93871,158591,126231.0,3.0,https://hh.ru/vacancy/1000031
SQL-аналитик,Москва,59198,98899,79048.5,1.0,https://hh.ru/vacancy/1000032
Data Engineer (junior),Новосибирск,59758,148058,103908.0,1.0,https://hh.ru/vacancy/1000033
Интернет-маркетолог,Москва,55254,77928,66591.0,0.0,https://hh.ru/vacancy/1000034
Junior аналитик,Екатеринбург,84238,172798,128518.0,1.0,https://hh.ru/vacancy/1000035
Системный аналитик,Удалённо,41252,70126,55689.0,2.0,https://hh.ru/vacancy/1000036
Аналитик данных,Удалённо,79764,128406,104085.0,3.0,https://hh.ru/vacancy/1000037
Отчётный аналитик,Новосибирск,117709,187869,152789.0,0.5,https://hh.ru/job/1000038
Отчётный аналитик,Москва,77441,100043,88742.0,0.0,https://hh.ru/vacancy/1000039
Product manager (junior),Санкт-Петербург,132234,163165,147699.5,2.0,https://hh.ru/job/1000040
SQL-аналитик,Удалённо,93682,127874,110778.0,0.0,https://hh.ru/job/1000041
Junior аналитик,Новосибирск,99494,151036,125265.0,0.5,https://hh.ru/job/1000042
Junior аналитик,Новосибирск,121317,168837,145077.0,0.0,https://hh.ru/vacancy/1000043
Product manager (junior),Екатеринбург,105215,174987,140101.0,0.5,https://hh.ru/vacancy/1000044
Специалист по рекламе,Казань,118587,182349,150468.0,0.5,https://hh.ru/job/1000045
Специалист по рекламе,Казань,145185,200291,172738.0,1.0,https://hh.ru/vacancy/1000046
Product manager (junior),Удалённо,46949,133070,90009.5,1.0,https://hh.ru/job/1000047
Специалист по рекламе,Екатеринбург,147825,178384,163104.5,3.0,https://hh.ru/vacancy/1000048
BI-аналитик,Екатеринбург,95393,134135,114764.0,1.0,https://hh.ru/vacancy/1000049
Junior аналитик,Екатеринбург,113553,188222,150887.5,2.0,https://hh.ru/job/1000050
Финансовый аналитик,Удалённо,46941,132140,89540.5,0.0,https://hh.ru/job/1000051
Маркетинг-аналитик,Казань,65934,92688,79311.0,0.5,https://hh.ru/job/1000052
Системный аналитик,Екатеринбург,63386,72358,67872.0,2.0,https://hh.ru/vacancy/1000053
BI-аналитик,Москва,101886,177717,139801.5,0.0,https://hh.ru/job/1000054
Data Scientist (junior),Новосибирск,115745,162618,139181.5,1.0,https://hh.ru/vacancy/1000055
BI-аналитик,Новосибирск,123251,138154,130702.5,2.0,https://hh.ru/vacancy/1000056
